_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
677848,93,PS-01169,5075,Yonge St,Hillcrest Ave,North,Yonge St,East,11848,18,,Corral,Existing,K2311848,0,311868.395,4847517.441000001,-79.412205387,43.767582746,"{u'type': u'Point', u'coordinates': (-79.412205384, 43.7675827459)}"
677849,94,PS-01171,185,Sheppard Ave E,Willowdale Ave,East,Sheppard Ave E,South,11850,18,,Corral,Existing,K2311850,0,312892.119,4847093.807,-79.39949639,43.763759073,"{u'type': u'Point', u'coordinates': (-79.3994963885, 43.7637590719)}"
677850,95,PS-01172,92,Calvin Ave,Sheppard Ave E,South,Calvin Ave,West,11851,18,,Corral,Existing,K2311851,0,313380.816,4847258.669,-79.393424179,43.765237518999996,"{u'type': u'Point', u'coordinates': (-79.393424178, 43.7652375237)}"
677851,96,PS-01176,2385,Yonge St,Yonge St,East,Broadway Ave,North,11855,15,Uptown Yonge,Corral,Existing,K2511855,0,312949.684,4841092.807,-79.398872383,43.709742176999995,"{u'type': u'Point', u'coordinates': (-79.3988723823, 43.7097421755)}"
677852,97,PS-01178,5238,Dundas St W,Jopling Ave S,West,Dundas St W,North,11838,3,,Corral,Existing,K0511838,0,301743.901,4833232.149,-79.537877944,43.639024308,"{u'type': u'Point', u'coordinates': (-79.5378779483, 43.6390243106)}"
677853,98,PS-01180,5251,Dundas St W,Dundas St W,South,Aukland Rd,West,11840,3,,Corral,Temporarily Removed,K0511840,0,301718.095,4833120.982,-79.53819716,43.638023544,"{u'type': u'Point', u'coordinates': (-79.5381971595, 43.638023548)}"
677854,100,PS-01189,20,Wynford Dr,Gervais Dr,East,Wynford Dr,North,11818,16,,Corral,Existing,K2611818,0,317965.192,4842662.317,-79.336597879,43.723797678000004,"{u'type': u'Point', u'coordinates': (-79.3365978749, 43.7237976757)}"
677855,101,PS-01191,,Spanbridge Rd,Spanbridge Rd,South,Linkwood Lane,West,11819,16,,Corral,Existing,K2611819,0,318909.08,4841396.0030000005,-79.324915889,43.712381966,"{u'type': u'Point', u'coordinates': (-79.3249158858, 43.7123819668)}"
677856,102,PS-01197,38,Thorncliffe Park Dr,Thorncliffe Park Dr,East,Grandstand Pl,South,11823,15,,Corral,Existing,K2611823,0,317346.929,4840248.827,-79.344327772,43.702084012,"{u'type': u'Point', u'coordinates': (-79.3443277709, 43.7020840116)}"
677857,103,PS-01199,675,Millwood Rd,Millwood Rd,South,Bayview Ave,West,11816,15,Bayview Leaside,Corral,Existing,K2211816,0,314887.127,4840477.299,-79.374842665,43.704178037,"{u'type': u'Point', u'coordinates': (-79.3748426619, 43.704178036)}"
677858,104,PS-01203,2737,Kipling Ave,Kipling Ave,East,Beaconhill Rd,South,11893,1,,Corral,Existing,K0111893,0,297813.043,4845947.623,-79.586762677,43.75345331,"{u'type': u'Point', u'coordinates': (-79.5867626762, 43.753453309)}"
677859,105,PS-01205,5000,Steeles Ave W,Kipling Ave,West,Steeles Ave W,North,11890,1,,Corral,Existing,K0111890,0,297531.564,4846678.338,-79.590267914,43.760027896000004,"{u'type': u'Point', u'coordinates': (-79.5902679105, 43.7600279009)}"
677860,107,PS-01210,1401,Dupont St,Lansdowne Ave,West,Dupont St,South,11917,9,,Corral,Existing,K1911917,0,309117.517,4836287.762,-79.44646333899999,43.666522716,"{u'type': u'Point', u'coordinates': (-79.4464633441, 43.6665227144)}"
677861,108,PS-01212,840,King St W,King St W,North,Niagara St,West,11919,10,,Corral,Existing,K1911919,0,312218.50899999996,4833665.706,-79.4080475,43.64289621100001,"{u'type': u'Point', u'coordinates': (-79.4080475005, 43.6428962138)}"
677862,109,PS-01218,3030,Birchmount Rd,Birchmount Rd,West,L'Amoreaux Dr,North,11927,22,,Corral,Existing,K3911927,0,320219.32899999997,4851376.231000001,-79.308370192,43.802189356999996,"{u'type': u'Point', u'coordinates': (-79.3083701954, 43.8021893546)}"
677863,110,PS-01220,,Birchmount Rd,Birchmount Rd,West,Steeles Ave E,South,11928,22,,Corral,Temporarily Removed,K3911928,0,319529.538,4853463.237,-79.316885419,43.820988674,"{u'type': u'Point', u'coordinates': (-79.3168854151, 43.8209886738)}"
677864,111,PS-01222,2530,Kingston Rd,Kingston Rd,North,Midland Ave,West,11902,20,,Corral,Existing,K3611902,0,325071.794,4841266.97,-79.248446265,43.711077794,"{u'type': u'Point', u'coordinates': (-79.2484462589, 43.7110777968)}"
677865,112,PS-01224,,Danforth Ave,Danforth Ave,South,Midland Ave,East,11903,20,,Corral,Existing,K3511903,0,324637.631,4842810.211,-79.253776888,43.724980502,"{u'type': u'Point', u'coordinates': (-79.253776885, 43.7249805026)}"
677866,113,PS-01226,1050,Markham Rd,Markham Rd,West,Brimorton Dr,North,11905,24,,Corral,Existing,K3811905,0,326457.29,4848244.99,-79.230972631,43.773848635,"{u'type': u'Point', u'coordinates': (-79.2309726333, 43.7738486384)}"
677867,114,PS-01234,3030,Midland Ave,Finch Ave E,South,Midland Ave,West,11915,22,,Corral,Existing,K4111915,0,321952.36699999997,4851525.093,-79.286827559,43.803491124,"{u'type': u'Point', u'coordinates': (-79.2868275562, 43.8034911282)}"
677868,115,PS-01236,662,King St W,King St W,North,Bathurst St,East,11930,10,,Corral,Existing,K2011930,0,312696.295,4833800.007,-79.402123388,43.644100181999995,"{u'type': u'Point', u'coordinates': (-79.4021233835, 43.6441001883)}"
677869,116,PS-01239,751,King St W,Tecumseth St,West,King St W,South,11932,10,,Corral,Existing,K1911932,0,312443.229,4833695.033,-79.405261684,43.643157919,"{u'type': u'Point', u'coordinates': (-79.4052616826, 43.6431579223)}"
677870,117,PS-01245,20,Regent St,Parliament St,East,Shuter St,North,11938,13,,Corral,Existing,K2811938,0,315686.814,4835267.447,-79.365025636,43.657271361999996,"{u'type': u'Point', u'coordinates': (-79.3650256382, 43.6572713613)}"
677871,118,PS-01247,4759,Yonge St,Yonge St,East,Anndale Dr,North,11940,18,,Corral,Existing,K2311940,0,312007.47,4846720.225,-79.410488669,43.760405528999996,"{u'type': u'Point', u'coordinates': (-79.4104886734, 43.7604055287)}"
677872,119,PS-01251,95,Sherbourne St,Sherbourne St,East,Richmond St E,South,11944,13,St. Lawrence Market Neighbourhood,Corral,Existing,K2811944,0,315368.516,4834819.583000001,-79.368980645,43.653244576000006,"{u'type': u'Point', u'coordinates': (-79.3689806411, 43.653244581)}"
677873,120,PS-01253,155,Sherbourne St,Sherbourne St,East,Shuter St,South,11945,13,,Corral,Existing,K2811945,0,315295.672,4835107.607,-79.36987809600001,43.655838211,"{u'type': u'Point', u'coordinates': (-79.3698780981, 43.655838212)}"
677874,121,PS-01257,429,Bloor St E,Bloor St E,South,Sherbourne St,East,11948,13,,Corral,Existing,K2811948,0,314782.562,4836943.024,-79.376205507,43.67236645,"{u'type': u'Point', u'coordinates': (-79.376205508, 43.6723664491)}"
677875,122,PS-01259,166,Dundas St E,Dundas St E,North,Jarvis St,West,11949,13,,Corral,Existing,K2711949,0,314898.459,4835243.41,-79.374800068,43.657066117,"{u'type': u'Point', u'coordinates': (-79.3748000632, 43.657066119)}"
677876,124,PS-00079,243,Eglinton Ave W,Eglinton Ave W,South,Oriole Pkwy,West,06017,12,The Eglinton Way,Corral,Existing,K2206017,0,312341.95,4840560.913,-79.406421056,43.704960877,"{u'type': u'Point', u'coordinates': (-79.4064210567, 43.7049608828)}"
677877,126,PS-00052,980,Bloor St W,Dovercourt Rd,West,Bloor St W,North,06406,9,Bloorcourt Village,Corral,Existing,K1906406,0,310479.588,4835709.287,-79.42957993899999,43.661306508,"{u'type': u'Point', u'coordinates': (-79.4295799367, 43.6613065105)}"
677878,127,PS-00055,740,Bloor St W,Christie St,West,Bloor St W,North,06563,11,Korea Town,Corral,Existing,K1906563,0,311367.245,4835975.345,-79.418570835,43.663694073,"{u'type': u'Point', u'coordinates': (-79.4185708304, 43.6636940775)}"
677879,129,PS-00009,274,Wilson Ave,Wilson Ave,North,Bathurst St,West,06825,6,,Corral,Existing,K1006825,0,310081.674,4844168.569,-79.434430665,43.737453793,"{u'type': u'Point', u'coordinates': (-79.4344306627, 43.7374537919)}"
677880,130,PS-00003,600,The East Mall,The East Mall,West,Rathburn Rd,North,07205,2,,Corral,Existing,K0307205,0,299596.435,4835037.098,-79.56451147,43.655259387,"{u'type': u'Point', u'coordinates': (-79.564511476, 43.6552593902)}"
677881,131,PS-00033,3090,Bathurst St,Lawrence Ave W,North,Bathurst St,West,07209,8,,Corral,Existing,K1507209,0,310416.04,4842151.671,-79.430300735,43.719296765,"{u'type': u'Point', u'coordinates': (-79.4303007338, 43.7192967698)}"
677882,133,PS-00452,48,Yonge St,Wellington St W,North,Yonge St,West,10075,13,Financial District,Corral,Temporarily Removed,K2810075,0,314670.799,4834219.323,-79.377641287,43.647851021,"{u'type': u'Point', u'coordinates': (-79.3776412848, 43.6478510228)}"
677883,134,PS-00456,3190,Steeles Ave E,Steeles Ave E,North,Victoria Park Ave,West,10084,17,,Corral,Existing,K2410084,0,317377.48600000003,4852819.933,-79.343654281,43.815237982,"{u'type': u'Point', u'coordinates': (-79.3436542855, 43.8152379885)}"
